date,sku,units_sold,promo_flag
2024-12-16,FIL-1001,30,0
2024-12-23,FIL-1001,23,0
2024-12-30,FIL-1001,22,0
2025-01-06,FIL-1001,14,0
2025-01-13,FIL-1001,22,0
2025-01-20,FIL-1001,60,1
2025-01-27,FIL-1001,22,0
2025-02-03,FIL-1001,21,0
2025-02-10,FIL-1001,26,0
2025-02-17,FIL-1001,14,0
2025-02-24,FIL-1001,27,0
2025-03-03,FIL-1001,15,0
2025-03-10,FIL-1001,16,0
2025-03-17,FIL-1001,17,0
2025-03-24,FIL-1001,24,0
2025-03-31,FIL-1001,25,0
2025-04-07,FIL-1001,20,0
2025-04-14,FIL-1001,19,0
2025-04-21,FIL-1001,20,0
2025-04-28,FIL-1001,22,0
2025-05-05,FIL-1001,23,0
2025-05-12,FIL-1001,32,1
2025-05-19,FIL-1001,19,0
2025-05-26,FIL-1001,24,0
2025-06-02,FIL-1001,25,0
2025-06-09,FIL-1001,20,0
2025-06-16,FIL-1001,13,0
2025-06-23,FIL-1001,28,0
2025-06-30,FIL-1001,24,0
2025-07-07,FIL-1001,24,0
2025-07-14,FIL-1001,23,0
2025-07-21,FIL-1001,21,0
2025-07-28,FIL-1001,16,0
2025-08-04,FIL-1001,20,0
2025-08-11,FIL-1001,28,0
2025-08-18,FIL-1001,22,0
2025-08-25,FIL-1001,32,0
2025-09-01,FIL-1001,26,0
2025-09-08,FIL-1001,23,0
2025-09-15,FIL-1001,25,0
2025-09-22,FIL-1001,34,0
2025-09-29,FIL-1001,24,0
2025-10-06,FIL-1001,44,0
2025-10-13,FIL-1001,26,0
2025-10-20,FIL-1001,33,0
2025-10-27,FIL-1001,33,0
2025-11-03,FIL-1001,45,0
2025-11-10,FIL-1001,43,0
2025-11-17,FIL-1001,35,0
2025-11-24,FIL-1001,27,0
2025-12-01,FIL-1001,34,0
2025-12-08,FIL-1001,38,0
2025-12-15,FIL-1001,34,0
2025-12-22,FIL-1001,26,0
2025-12-29,FIL-1001,26,0
2026-01-05,FIL-1001,14,0
2026-01-12,FIL-1001,28,0
2026-01-19,FIL-1001,23,0
2026-01-26,FIL-1001,28,0
2026-02-02,FIL-1001,24,0
2026-02-09,FIL-1001,32,1
2026-02-16,FIL-1001,26,0
2026-02-23,FIL-1001,24,0
2026-03-02,FIL-1001,17,0
2026-03-09,FIL-1001,20,0
2026-03-16,FIL-1001,14,0
2026-03-23,FIL-1001,19,0
2026-03-30,FIL-1001,21,0
2026-04-06,FIL-1001,32,1
2026-04-13,FIL-1001,20,0
2026-04-20,FIL-1001,16,0
2026-04-27,FIL-1001,19,0
2026-05-04,FIL-1001,21,0
2026-05-11,FIL-1001,16,0
2026-05-18,FIL-1001,23,0
2026-05-25,FIL-1001,10,0
2026-06-01,FIL-1001,17,0
2026-06-08,FIL-1001,14,0
2024-12-16,CHN-1023,11,0
2024-12-23,CHN-1023,13,0
2024-12-30,CHN-1023,7,0
2025-01-06,CHN-1023,12,0
2025-01-13,CHN-1023,18,0
2025-01-20,CHN-1023,11,0
2025-01-27,CHN-1023,15,0
2025-02-03,CHN-1023,14,0
2025-02-10,CHN-1023,17,0
2025-02-17,CHN-1023,19,0
2025-02-24,CHN-1023,9,0
2025-03-03,CHN-1023,18,0
2025-03-10,CHN-1023,17,0
2025-03-17,CHN-1023,11,0
2025-03-24,CHN-1023,20,0
2025-03-31,CHN-1023,9,0
2025-04-07,CHN-1023,16,0
2025-04-14,CHN-1023,28,1
2025-04-21,CHN-1023,11,0
2025-04-28,CHN-1023,13,0
2025-05-05,CHN-1023,11,0
2025-05-12,CHN-1023,35,1
2025-05-19,CHN-1023,10,0
2025-05-26,CHN-1023,9,0
2025-06-02,CHN-1023,16,0
2025-06-09,CHN-1023,10,0
2025-06-16,CHN-1023,9,0
2025-06-23,CHN-1023,14,0
2025-06-30,CHN-1023,16,0
2025-07-07,CHN-1023,9,0
2025-07-14,CHN-1023,12,0
2025-07-21,CHN-1023,15,0
2025-07-28,CHN-1023,38,1
2025-08-04,CHN-1023,16,1
2025-08-11,CHN-1023,19,0
2025-08-18,CHN-1023,12,1
2025-08-25,CHN-1023,11,0
2025-09-01,CHN-1023,12,0
2025-09-08,CHN-1023,11,0
2025-09-15,CHN-1023,15,0
2025-09-22,CHN-1023,18,0
2025-09-29,CHN-1023,18,0
2025-10-06,CHN-1023,26,0
2025-10-13,CHN-1023,25,0
2025-10-20,CHN-1023,24,0
2025-10-27,CHN-1023,35,0
2025-11-03,CHN-1023,47,1
2025-11-10,CHN-1023,19,0
2025-11-17,CHN-1023,29,0
2025-11-24,CHN-1023,21,0
2025-12-01,CHN-1023,15,0
2025-12-08,CHN-1023,21,0
2025-12-15,CHN-1023,26,0
2025-12-22,CHN-1023,22,0
2025-12-29,CHN-1023,24,0
2026-01-05,CHN-1023,26,0
2026-01-12,CHN-1023,34,0
2026-01-19,CHN-1023,25,0
2026-01-26,CHN-1023,40,1
2026-02-02,CHN-1023,23,0
2026-02-09,CHN-1023,17,0
2026-02-16,CHN-1023,20,0
2026-02-23,CHN-1023,29,0
2026-03-02,CHN-1023,27,0
2026-03-09,CHN-1023,25,0
2026-03-16,CHN-1023,19,0
2026-03-23,CHN-1023,32,0
2026-03-30,CHN-1023,26,0
2026-04-06,CHN-1023,28,0
2026-04-13,CHN-1023,30,0
2026-04-20,CHN-1023,24,0
2026-04-27,CHN-1023,17,0
2026-05-04,CHN-1023,42,1
2026-05-11,CHN-1023,20,0
2026-05-18,CHN-1023,30,0
2026-05-25,CHN-1023,18,0
2026-06-01,CHN-1023,22,0
2026-06-08,CHN-1023,20,0
2024-12-16,FIL-1042,53,0
2024-12-23,FIL-1042,42,0
2024-12-30,FIL-1042,36,0
2025-01-06,FIL-1042,84,1
2025-01-13,FIL-1042,32,0
2025-01-20,FIL-1042,51,0
2025-01-27,FIL-1042,40,0
2025-02-03,FIL-1042,35,0
2025-02-10,FIL-1042,95,1
2025-02-17,FIL-1042,60,1
2025-02-24,FIL-1042,35,0
2025-03-03,FIL-1042,42,0
2025-03-10,FIL-1042,55,1
2025-03-17,FIL-1042,41,0
2025-03-24,FIL-1042,35,0
2025-03-31,FIL-1042,35,0
2025-04-07,FIL-1042,25,0
2025-04-14,FIL-1042,28,0
2025-04-21,FIL-1042,60,1
2025-04-28,FIL-1042,85,1
2025-05-05,FIL-1042,33,0
2025-05-12,FIL-1042,31,0
2025-05-19,FIL-1042,34,0
2025-05-26,FIL-1042,28,0
2025-06-02,FIL-1042,34,0
2025-06-09,FIL-1042,25,0
2025-06-16,FIL-1042,28,0
2025-06-23,FIL-1042,35,0
2025-06-30,FIL-1042,41,0
2025-07-07,FIL-1042,34,0
2025-07-14,FIL-1042,38,0
2025-07-21,FIL-1042,65,1
2025-07-28,FIL-1042,41,0
2025-08-04,FIL-1042,45,0
2025-08-11,FIL-1042,43,0
2025-08-18,FIL-1042,53,0
2025-08-25,FIL-1042,54,0
2025-09-01,FIL-1042,46,0
2025-09-08,FIL-1042,31,0
2025-09-15,FIL-1042,44,0
2025-09-22,FIL-1042,59,0
2025-09-29,FIL-1042,80,1
2025-10-06,FIL-1042,53,0
2025-10-13,FIL-1042,74,0
2025-10-20,FIL-1042,67,0
2025-10-27,FIL-1042,81,0
2025-11-03,FIL-1042,71,0
2025-11-10,FIL-1042,56,0
2025-11-17,FIL-1042,66,0
2025-11-24,FIL-1042,62,0
2025-12-01,FIL-1042,44,0
2025-12-08,FIL-1042,50,0
2025-12-15,FIL-1042,48,0
2025-12-22,FIL-1042,36,0
2025-12-29,FIL-1042,47,0
2026-01-05,FIL-1042,50,0
2026-01-12,FIL-1042,41,0
2026-01-19,FIL-1042,35,0
2026-01-26,FIL-1042,28,0
2026-02-02,FIL-1042,37,0
2026-02-09,FIL-1042,46,0
2026-02-16,FIL-1042,35,0
2026-02-23,FIL-1042,41,0
2026-03-02,FIL-1042,35,0
2026-03-09,FIL-1042,36,0
2026-03-16,FIL-1042,45,0
2026-03-23,FIL-1042,30,0
2026-03-30,FIL-1042,37,0
2026-04-06,FIL-1042,38,0
2026-04-13,FIL-1042,32,0
2026-04-20,FIL-1042,31,0
2026-04-27,FIL-1042,65,1
2026-05-04,FIL-1042,28,0
2026-05-11,FIL-1042,24,0
2026-05-18,FIL-1042,29,0
2026-05-25,FIL-1042,23,0
2026-06-01,FIL-1042,32,0
2026-06-08,FIL-1042,29,0
2024-12-16,FIL-1023,31,0
2024-12-23,FIL-1023,29,0
2024-12-30,FIL-1023,35,0
2025-01-06,FIL-1023,33,0
2025-01-13,FIL-1023,35,0
2025-01-20,FIL-1023,23,0
2025-01-27,FIL-1023,28,0
2025-02-03,FIL-1023,67,1
2025-02-10,FIL-1023,30,0
2025-02-17,FIL-1023,42,0
2025-02-24,FIL-1023,66,1
2025-03-03,FIL-1023,30,0
2025-03-10,FIL-1023,31,0
2025-03-17,FIL-1023,29,0
2025-03-24,FIL-1023,30,0
2025-03-31,FIL-1023,25,0
2025-04-07,FIL-1023,24,0
2025-04-14,FIL-1023,22,0
2025-04-21,FIL-1023,36,0
2025-04-28,FIL-1023,26,0
2025-05-05,FIL-1023,31,0
2025-05-12,FIL-1023,25,0
2025-05-19,FIL-1023,16,0
2025-05-26,FIL-1023,45,1
2025-06-02,FIL-1023,61,1
2025-06-09,FIL-1023,25,0
2025-06-16,FIL-1023,25,0
2025-06-23,FIL-1023,22,0
2025-06-30,FIL-1023,24,0
2025-07-07,FIL-1023,27,0
2025-07-14,FIL-1023,26,0
2025-07-21,FIL-1023,15,0
2025-07-28,FIL-1023,17,0
2025-08-04,FIL-1023,18,0
2025-08-11,FIL-1023,27,0
2025-08-18,FIL-1023,9,0
2025-08-25,FIL-1023,26,0
2025-09-01,FIL-1023,29,0
2025-09-08,FIL-1023,24,0
2025-09-15,FIL-1023,23,0
2025-09-22,FIL-1023,21,0
2025-09-29,FIL-1023,34,0
2025-10-06,FIL-1023,39,0
2025-10-13,FIL-1023,33,0
2025-10-20,FIL-1023,41,0
2025-10-27,FIL-1023,46,0
2025-11-03,FIL-1023,35,0
2025-11-10,FIL-1023,102,1
2025-11-17,FIL-1023,49,0
2025-11-24,FIL-1023,55,0
2025-12-01,FIL-1023,46,0
2025-12-08,FIL-1023,46,0
2025-12-15,FIL-1023,28,0
2025-12-22,FIL-1023,30,0
2025-12-29,FIL-1023,33,0
2026-01-05,FIL-1023,38,0
2026-01-12,FIL-1023,38,0
2026-01-19,FIL-1023,44,0
2026-01-26,FIL-1023,32,0
2026-02-02,FIL-1023,43,0
2026-02-09,FIL-1023,44,0
2026-02-16,FIL-1023,44,0
2026-02-23,FIL-1023,50,0
2026-03-02,FIL-1023,60,0
2026-03-09,FIL-1023,37,0
2026-03-16,FIL-1023,62,1
2026-03-23,FIL-1023,38,0
2026-03-30,FIL-1023,43,0
2026-04-06,FIL-1023,32,0
2026-04-13,FIL-1023,40,0
2026-04-20,FIL-1023,29,0
2026-04-27,FIL-1023,34,0
2026-05-04,FIL-1023,30,0
2026-05-11,FIL-1023,29,0
2026-05-18,FIL-1023,26,0
2026-05-25,FIL-1023,31,0
2026-06-01,FIL-1023,36,0
2026-06-08,FIL-1023,34,0
2024-12-16,BRK-1036,26,0
2024-12-23,BRK-1036,10,0
2024-12-30,BRK-1036,19,0
2025-01-06,BRK-1036,19,0
2025-01-13,BRK-1036,22,0
2025-01-20,BRK-1036,24,0
2025-01-27,BRK-1036,27,0
2025-02-03,BRK-1036,18,0
2025-02-10,BRK-1036,20,0
2025-02-17,BRK-1036,35,1
2025-02-24,BRK-1036,25,0
2025-03-03,BRK-1036,21,0
2025-03-10,BRK-1036,21,0
2025-03-17,BRK-1036,22,0
2025-03-24,BRK-1036,15,0
2025-03-31,BRK-1036,21,0
2025-04-07,BRK-1036,18,0
2025-04-14,BRK-1036,17,0
2025-04-21,BRK-1036,32,1
2025-04-28,BRK-1036,21,0
2025-05-05,BRK-1036,20,0
2025-05-12,BRK-1036,24,0
2025-05-19,BRK-1036,21,0
2025-05-26,BRK-1036,17,0
2025-06-02,BRK-1036,19,0
2025-06-09,BRK-1036,29,0
2025-06-16,BRK-1036,33,0
2025-06-23,BRK-1036,21,0
2025-06-30,BRK-1036,21,1
2025-07-07,BRK-1036,19,0
2025-07-14,BRK-1036,24,0
2025-07-21,BRK-1036,15,0
2025-07-28,BRK-1036,19,0
2025-08-04,BRK-1036,19,0
2025-08-11,BRK-1036,14,0
2025-08-18,BRK-1036,24,0
2025-08-25,BRK-1036,19,0
2025-09-01,BRK-1036,15,0
2025-09-08,BRK-1036,34,1
2025-09-15,BRK-1036,17,0
2025-09-22,BRK-1036,21,0
2025-09-29,BRK-1036,17,0
2025-10-06,BRK-1036,48,1
2025-10-13,BRK-1036,21,0
2025-10-20,BRK-1036,42,1
2025-10-27,BRK-1036,27,0
2025-11-03,BRK-1036,18,0
2025-11-10,BRK-1036,19,0
2025-11-17,BRK-1036,17,0
2025-11-24,BRK-1036,19,0
2025-12-01,BRK-1036,17,0
2025-12-08,BRK-1036,15,0
2025-12-15,BRK-1036,29,1
2025-12-22,BRK-1036,17,0
2025-12-29,BRK-1036,19,0
2026-01-05,BRK-1036,21,0
2026-01-12,BRK-1036,13,0
2026-01-19,BRK-1036,31,1
2026-01-26,BRK-1036,16,0
2026-02-02,BRK-1036,25,1
2026-02-09,BRK-1036,13,0
2026-02-16,BRK-1036,18,0
2026-02-23,BRK-1036,19,0
2026-03-02,BRK-1036,27,0
2026-03-09,BRK-1036,14,0
2026-03-16,BRK-1036,25,0
2026-03-23,BRK-1036,20,0
2026-03-30,BRK-1036,21,0
2026-04-06,BRK-1036,21,0
2026-04-13,BRK-1036,17,0
2026-04-20,BRK-1036,23,0
2026-04-27,BRK-1036,26,0
2026-05-04,BRK-1036,49,1
2026-05-11,BRK-1036,23,0
2026-05-18,BRK-1036,16,0
2026-05-25,BRK-1036,16,0
2026-06-01,BRK-1036,20,0
2026-06-08,BRK-1036,17,0
2024-12-16,FIL-1024,6,0
2024-12-23,FIL-1024,16,0
2024-12-30,FIL-1024,23,0
2025-01-06,FIL-1024,8,0
2025-01-13,FIL-1024,12,0
2025-01-20,FIL-1024,12,0
2025-01-27,FIL-1024,13,0
2025-02-03,FIL-1024,13,0
2025-02-10,FIL-1024,6,0
2025-02-17,FIL-1024,12,0
2025-02-24,FIL-1024,14,0
2025-03-03,FIL-1024,13,0
2025-03-10,FIL-1024,13,0
2025-03-17,FIL-1024,8,0
2025-03-24,FIL-1024,14,0
2025-03-31,FIL-1024,24,1
2025-04-07,FIL-1024,19,0
2025-04-14,FIL-1024,13,0
2025-04-21,FIL-1024,14,0
2025-04-28,FIL-1024,10,0
2025-05-05,FIL-1024,26,1
2025-05-12,FIL-1024,8,0
2025-05-19,FIL-1024,13,0
2025-05-26,FIL-1024,14,0
2025-06-02,FIL-1024,16,0
2025-06-09,FIL-1024,7,0
2025-06-16,FIL-1024,12,0
2025-06-23,FIL-1024,13,0
2025-06-30,FIL-1024,9,0
2025-07-07,FIL-1024,5,0
2025-07-14,FIL-1024,11,0
2025-07-21,FIL-1024,9,0
2025-07-28,FIL-1024,10,0
2025-08-04,FIL-1024,12,0
2025-08-11,FIL-1024,7,0
2025-08-18,FIL-1024,12,0
2025-08-25,FIL-1024,10,0
2025-09-01,FIL-1024,17,0
2025-09-08,FIL-1024,6,0
2025-09-15,FIL-1024,4,0
2025-09-22,FIL-1024,10,0
2025-09-29,FIL-1024,6,0
2025-10-06,FIL-1024,16,0
2025-10-13,FIL-1024,14,0
2025-10-20,FIL-1024,6,0
2025-10-27,FIL-1024,21,1
2025-11-03,FIL-1024,10,0
2025-11-10,FIL-1024,14,0
2025-11-17,FIL-1024,10,0
2025-11-24,FIL-1024,10,0
2025-12-01,FIL-1024,11,0
2025-12-08,FIL-1024,10,0
2025-12-15,FIL-1024,12,0
2025-12-22,FIL-1024,12,0
2025-12-29,FIL-1024,11,0
2026-01-05,FIL-1024,11,0
2026-01-12,FIL-1024,13,0
2026-01-19,FIL-1024,13,0
2026-01-26,FIL-1024,10,0
2026-02-02,FIL-1024,6,0
2026-02-09,FIL-1024,16,0
2026-02-16,FIL-1024,12,0
2026-02-23,FIL-1024,14,0
2026-03-02,FIL-1024,12,0
2026-03-09,FIL-1024,16,0
2026-03-16,FIL-1024,14,0
2026-03-23,FIL-1024,17,0
2026-03-30,FIL-1024,18,1
2026-04-06,FIL-1024,33,1
2026-04-13,FIL-1024,13,0
2026-04-20,FIL-1024,11,0
2026-04-27,FIL-1024,6,0
2026-05-04,FIL-1024,14,0
2026-05-11,FIL-1024,12,0
2026-05-18,FIL-1024,10,0
2026-05-25,FIL-1024,11,0
2026-06-01,FIL-1024,15,0
2026-06-08,FIL-1024,14,0
2024-12-16,FIL-1040,116,1
2024-12-23,FIL-1040,44,0
2024-12-30,FIL-1040,32,0
2025-01-06,FIL-1040,36,0
2025-01-13,FIL-1040,75,1
2025-01-20,FIL-1040,45,0
2025-01-27,FIL-1040,43,0
2025-02-03,FIL-1040,37,0
2025-02-10,FIL-1040,25,0
2025-02-17,FIL-1040,23,0
2025-02-24,FIL-1040,36,0
2025-03-03,FIL-1040,36,0
2025-03-10,FIL-1040,39,0
2025-03-17,FIL-1040,45,0
2025-03-24,FIL-1040,31,0
2025-03-31,FIL-1040,40,0
2025-04-07,FIL-1040,31,0
2025-04-14,FIL-1040,39,0
2025-04-21,FIL-1040,38,0
2025-04-28,FIL-1040,42,0
2025-05-05,FIL-1040,33,0
2025-05-12,FIL-1040,37,0
2025-05-19,FIL-1040,42,0
2025-05-26,FIL-1040,47,0
2025-06-02,FIL-1040,62,0
2025-06-09,FIL-1040,118,1
2025-06-16,FIL-1040,59,0
2025-06-23,FIL-1040,55,0
2025-06-30,FIL-1040,52,0
2025-07-07,FIL-1040,68,0
2025-07-14,FIL-1040,56,0
2025-07-21,FIL-1040,56,0
2025-07-28,FIL-1040,63,0
2025-08-04,FIL-1040,98,1
2025-08-11,FIL-1040,59,0
2025-08-18,FIL-1040,64,0
2025-08-25,FIL-1040,67,0
2025-09-01,FIL-1040,57,0
2025-09-08,FIL-1040,69,0
2025-09-15,FIL-1040,63,0
2025-09-22,FIL-1040,71,0
2025-09-29,FIL-1040,46,0
2025-10-06,FIL-1040,78,0
2025-10-13,FIL-1040,79,0
2025-10-20,FIL-1040,65,0
2025-10-27,FIL-1040,74,0
2025-11-03,FIL-1040,62,0
2025-11-10,FIL-1040,59,0
2025-11-17,FIL-1040,62,0
2025-11-24,FIL-1040,38,0
2025-12-01,FIL-1040,37,0
2025-12-08,FIL-1040,36,0
2025-12-15,FIL-1040,52,0
2025-12-22,FIL-1040,43,0
2025-12-29,FIL-1040,85,1
2026-01-05,FIL-1040,35,0
2026-01-12,FIL-1040,32,0
2026-01-19,FIL-1040,36,0
2026-01-26,FIL-1040,61,1
2026-02-02,FIL-1040,37,0
2026-02-09,FIL-1040,28,0
2026-02-16,FIL-1040,37,0
2026-02-23,FIL-1040,32,0
2026-03-02,FIL-1040,36,0
2026-03-09,FIL-1040,21,0
2026-03-16,FIL-1040,28,0
2026-03-23,FIL-1040,32,0
2026-03-30,FIL-1040,35,0
2026-04-06,FIL-1040,35,0
2026-04-13,FIL-1040,34,0
2026-04-20,FIL-1040,41,0
2026-04-27,FIL-1040,37,0
2026-05-04,FIL-1040,42,0
2026-05-11,FIL-1040,41,0
2026-05-18,FIL-1040,46,0
2026-05-25,FIL-1040,53,0
2026-06-01,FIL-1040,44,0
2026-06-08,FIL-1040,140,1
2024-12-16,BRK-1074,12,0
2024-12-23,BRK-1074,9,0
2024-12-30,BRK-1074,33,1
2025-01-06,BRK-1074,11,0
2025-01-13,BRK-1074,16,0
2025-01-20,BRK-1074,10,0
2025-01-27,BRK-1074,11,0
2025-02-03,BRK-1074,11,0
2025-02-10,BRK-1074,14,0
2025-02-17,BRK-1074,9,0
2025-02-24,BRK-1074,9,0
2025-03-03,BRK-1074,14,0
2025-03-10,BRK-1074,5,0
2025-03-17,BRK-1074,29,1
2025-03-24,BRK-1074,8,0
2025-03-31,BRK-1074,9,0
2025-04-07,BRK-1074,9,0
2025-04-14,BRK-1074,17,0
2025-04-21,BRK-1074,12,0
2025-04-28,BRK-1074,19,0
2025-05-05,BRK-1074,15,0
2025-05-12,BRK-1074,30,1
2025-05-19,BRK-1074,17,0
2025-05-26,BRK-1074,22,0
2025-06-02,BRK-1074,44,1
2025-06-09,BRK-1074,27,1
2025-06-16,BRK-1074,24,0
2025-06-23,BRK-1074,12,0
2025-06-30,BRK-1074,21,0
2025-07-07,BRK-1074,10,0
2025-07-14,BRK-1074,25,0
2025-07-21,BRK-1074,19,0
2025-07-28,BRK-1074,24,0
2025-08-04,BRK-1074,13,0
2025-08-11,BRK-1074,18,0
2025-08-18,BRK-1074,24,0
